Stream,NP,Meter,Date,NO3-N,NH4-N,DIN,PO4-P
WS07,128,70,2012-05-17,301,111,412,9
WS08,16,70,2012-05-17,91,62,153,21
WS09,2,70,2012-05-17,14,14,29,33
WS10,8,70,2012-05-17,156,11,168,24
WS06,32,70,2012-05-31,253,160,414,24
WS07,128,70,2012-05-31,323,158,482,17
WS08,16,70,2012-05-31,174,85,259,
WS09,2,70,2012-05-31,26,41,67,28
WS10,8,70,2012-05-31,108,0,108,26
WS06,32,70,2012-06-15,155,7,162,26
WS07,128,70,2012-06-15,175,81,256,11
WS08,16,70,2012-06-15,87,48,134,22
WS09,2,70,2012-06-15,8,26,33,17
WS10,8,70,2012-06-15,102,32,134,34
WS06,32,70,2012-07-01,320,82,402,13
WS07,128,70,2012-07-01,734,54,788,
WS08,16,70,2012-07-01,,,,70
WS09,2,70,2012-07-01,24,2,26,22
WS10,8,70,2012-07-01,78,17,95,
WS06,32,70,2012-08-14,184,34,217,22
WS07,128,70,2012-08-14,233,114,347,10
WS08,16,70,2012-08-14,232,71,304,52
WS09,2,70,2012-08-14,33,20,52,67
WS10,8,70,2012-08-14,350,238,588,108
WS06,32,70,2012-08-27,292,23,315,16
WS07,128,70,2012-08-27,651,91,742,2
WS08,16,70,2012-08-27,998,170,1168,73
WS09,2,70,2012-08-27,44,13,57,61
WS10,8,70,2012-08-27,85,0,85,21
WS06,32,70,2012-09-06,255,27,282,15
WS07,128,70,2012-09-06,244,115,359,14
WS08,16,70,2012-09-06,266,186,452,60
WS09,2,70,2012-09-06,56,134,190,72
WS10,8,70,2012-09-06,85,174,259,17
WS06,32,70,2012-09-19,243,51,294,9
WS07,128,70,2012-09-19,232,152,384,5
WS08,16,70,2012-09-19,302,161,463,8
WS09,2,70,2012-09-19,39,24,62,54
WS10,8,70,2012-09-19,132,43,175,20
WS06,32,70,2012-10-11,55,4,59,12
WS07,128,70,2012-10-11,153,75,227,3
WS08,16,70,2012-10-11,248,156,404,38
WS09,2,70,2012-10-11,47,10,57,57
WS10,8,70,2012-10-11,122,6,128,23
WS06,32,70,2012-10-22,243,48,291,5
WS07,128,70,2012-10-22,406,163,569,5
WS08,16,70,2012-10-22,503,260,763,35
WS09,2,70,2012-10-22,71,2,73,111
WS10,8,70,2012-10-22,138,52,190,63
WS06,32,70,2012-11-08,292,17,308,32
WS07,128,70,2012-11-08,277,77,354,8
WS08,16,70,2012-11-08,288,122,410,93
WS09,2,70,2012-11-08,80,11,90,150
WS10,8,70,2012-11-08,159,48,207,104
WS06,32,70,2012-11-20,473,35,508,32
WS07,128,70,2012-11-20,694,206,900,6
WS08,16,70,2012-11-20,721,260,980,73
WS09,2,70,2012-11-20,112,29,141,129
WS10,8,70,2012-11-20,207,55,262,85
WS06,32,70,2012-12-03,312,8,320,8
WS07,128,70,2012-12-03,,,,3
WS08,16,70,2012-12-03,846,174,1020,
WS09,2,70,2012-12-03,173,0,173,129
WS10,8,70,2012-12-03,170,39,209,89
WS06,32,70,2012-12-19,422,25,446,27
WS07,128,70,2012-12-19,357,89,447,10
WS08,16,70,2012-12-19,735,198,932,
WS09,2,70,2012-12-19,,,,110
WS10,8,70,2012-12-19,290,87,376,150
WS06,32,70,2013-01-04,160,14,174,18
WS07,128,70,2013-01-04,237,124,361,7
WS08,16,70,2013-01-04,350,177,526,68
WS09,2,70,2013-01-04,46,22,68,133
WS10,8,70,2013-01-04,235,103,337,124
WS06,32,70,2013-01-18,,,,
WS07,128,70,2013-01-18,133,67,200,8
WS08,16,70,2013-01-18,133,48,181,13
WS09,2,70,2013-01-18,42,16,57,
WS10,8,70,2013-01-18,206,10,216,5
WS06,32,70,2013-01-31,48,3,51,11
WS07,128,70,2013-01-31,25,18,43,5
WS08,16,70,2013-01-31,60,1,61,10
WS09,2,70,2013-01-31,137,83,219,157
WS10,8,70,2013-01-31,73,2,75,2
WS06,32,70,2013-02-11,189,0,189,20
WS07,128,70,2013-02-11,78,4,82,4
WS08,16,70,2013-02-11,40,0,40,16
WS09,2,70,2013-02-11,23,0,23,60
WS10,8,70,2013-02-11,48,0,48,33
WS06,32,70,2013-02-26,211,11,221,11
WS07,128,70,2013-02-26,111,7,119,9
WS08,16,70,2013-02-26,121,1,122,11
WS09,2,70,2013-02-26,91,39,130,153
WS10,8,70,2013-02-26,117,15,132,48
WS06,32,70,2013-03-12,243,100,343,1
WS07,128,70,2013-03-12,105,18,122,4
WS08,16,70,2013-03-12,122,40,161,19
WS09,2,70,2013-03-12,56,25,81,51
WS10,8,70,2013-03-12,105,24,129,22
WS06,32,70,2013-03-26,135,55,189,32
WS07,128,70,2013-03-26,258,200,458,7
WS08,16,70,2013-03-26,35,29,64,18
WS09,2,70,2013-03-26,32,0,32,14
WS10,8,70,2013-03-26,72,7,79,23
WS06,32,70,2013-04-10,217,74,291,35
WS07,128,70,2013-04-10,541,387,928,29
WS08,16,70,2013-04-10,269,112,381,53
WS09,2,70,2013-04-10,46,10,56,52
WS10,8,70,2013-04-10,95,27,122,52
WS06,32,70,2013-04-25,174,77,251,21
WS07,128,70,2013-04-25,98,31,129,3
WS08,16,70,2013-04-25,220,103,324,47
WS09,2,70,2013-04-25,43,45,88,
WS10,8,70,2013-04-25,85,36,121,42
WS06,32,70,2013-05-10,162,15,177,14
WS07,128,70,2013-05-10,108,103,211,5
WS08,16,70,2013-05-10,158,83,241,43
WS09,2,70,2013-05-10,65,14,79,97
WS10,8,70,2013-05-10,116,21,136,34
WS06,32,70,2013-05-24,210,60,269,20
WS07,128,70,2013-05-24,471,344,815,13
WS08,16,70,2013-05-24,191,88,279,49
WS09,2,70,2013-05-24,61,34,95,87
WS10,8,70,2013-05-24,96,35,130,43
WS06,32,70,2013-06-07,230,36,266,15
WS07,128,70,2013-06-07,67,7,74,5
WS08,16,70,2013-06-07,125,37,162,28
WS09,2,70,2013-06-07,15,6,21,34
WS10,8,70,2013-06-07,59,14,73,27
WS10,8,70,2013-06-07,59,14,73,27
WS06,32,70,2013-06-24,195,90,285,22
WS07,128,70,2013-06-24,49,87,136,5
WS08,16,70,2013-06-24,205,247,452,34
WS09,2,70,2013-06-24,16,143,159,40
WS10,8,70,2013-06-24,97,38,135,15
WS10,8,70,2013-06-24,97,38,135,15
WS06,32,70,2013-07-08,194,28,222,10
WS07,128,70,2013-07-08,30,6,36,4
WS08,16,70,2013-07-08,85,49,134,25
WS09,2,70,2013-07-08,25,13,38,60
WS10,8,70,2013-07-08,141,1,142,24
WS10,8,70,2013-07-08,141,1,142,24
WS06,32,70,2013-07-22,128,17,146,8
WS07,128,70,2013-07-22,373,361,734,20
WS08,16,70,2013-07-22,203,79,282,41
WS09,2,70,2013-07-22,5,9,14,52
WS10,8,70,2013-07-22,75,59,133,73
WS10,8,70,2013-07-22,75,59,133,
